var,name,hemi,cog,cog2,sys,region_ggseg,region,python-ggseg
parstgrisrh,Inferior Frontal Gyrus- Pars Triangularis,right,language,,language,inferior frontal gyrus- pars triangularis,pars triangularis,
parstularislh,Inferior Frontal Gyrus- Pars Triangularis,left,language,,language,inferior frontal gyrus- pars triangularis,pars triangularis,
parstularisrh,Inferior Frontal Gyrus- Pars Triangularis,right,language,,language,inferior frontal gyrus- pars triangularis,pars triangularis,
ptglh,Inferior Frontal Gyrus- Pars Triangularis,left,language,,language,inferior frontal gyrus- pars triangularis,pars triangularis,
ptgrh,Inferior Frontal Gyrus- Pars Triangularis,right,language,,language,inferior frontal gyrus- pars triangularis,pars triangularis,
ifsfclh,Inferior Frontal Superior Frontal,left,,,,inferior frontal superior frontal,inferior frontal superior frontal,
ifsfcrh,Inferior Frontal Superior Frontal,right,,,,inferior frontal superior frontal,inferior frontal superior frontal,
ifolh,Inferior Fronto-occipital Fasciculus,left,language,,language,inferior fronto-occipital fasciculus,inferior fronto-occipital fasciculus,Inferior fronto-occipital fasciculus L
iforh,Inferior Fronto-occipital Fasciculus,right,language,,language,inferior fronto-occipital fasciculus,inferior fronto-occipital fasciculus,Inferior fronto-occipital fasciculus R
ilflh,Inferior Longitudinal Fasiculus,left,visual processing,,,inferior longitudinal fasiculus,inferior longitudinal fasiculus,Inferior longitudinal fasciculus L
ilfrh,Inferior Longitudinal Fasiculus,right,visual processing,,,inferior longitudinal fasiculus,inferior longitudinal fasiculus,Inferior longitudinal fasciculus R
ifpalh,Inferior Parietal Lobule,left,visual processing,attention,triple network,inferior parietal lobule,inferior parietal,
ifparh,Inferior Parietal Lobule,right,visual processing,attention,triple network,inferior parietal lobule,inferior parietal,
ifpllh,Inferior Parietal Lobule,left,visual processing,attention,triple network,inferior parietal lobule,inferior parietal,
ifplrh,Inferior Parietal Lobule,right,visual processing,attention,triple network,inferior parietal lobule,inferior parietal,
iplh,Inferior Parietal Lobule,left,visual processing,attention,triple network,inferior parietal lobule,inferior parietal,
iprh,Inferior Parietal Lobule,right,visual processing,attention,triple network,inferior parietal lobule,inferior parietal,
iftlh,Inferior Temporal Gyrus,left,language,memory,language,inferior temporal gyrus,inferior temporal,
iftmlh,Inferior Temporal Gyrus,left,language,memory,language,inferior temporal gyrus,inferior temporal,
iftmrh,Inferior Temporal Gyrus,right,language,memory,language,inferior temporal gyrus,inferior temporal,
iftrh,Inferior Temporal Gyrus,right,language,memory,language,inferior temporal gyrus,inferior temporal,
itlh,Inferior Temporal Gyrus,left,language,memory,language,inferior temporal gyrus,inferior temporal,
itrh,Inferior Temporal Gyrus,right,language,memory,language,inferior temporal gyrus,inferior temporal,
insulalh,Insula,left,interoception,attention,triple network,insula,insula,
insularh,Insula,right,interoception,attention,triple network,insula,insula,
